Participant,Tree.Node.Key,display,Reaction.Time,Zone.Name,Response,Correct,audio1,audio2,voice,wav1_type,wav2_type,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location
63e53c84d2b364bc18559a9f,task-2z3l,abx,830.8,buttonA,First,1,voice_08_human_060.mp3,voice_08_clone_060.mp3,8,human,clone,Male,31,United Kingdom,2025-06-10T19:08:43.045000Z,2020,148,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
681472219a1849c66000e17d,task-2z3l,abx,469.6000004,buttonA,First,1,voice_08_human_060.mp3,voice_08_clone_060.mp3,8,human,clone,Male,28,United Kingdom,2025-06-10T19:10:49.299000Z,1440,114,"London, England "
667b1efa1e27f6f8abd92a3c,task-2z3l,abx,801,buttonA,First,1,voice_09_human_060.mp3,voice_09_clone_060.mp3,9,human,clone,Male,25,United Kingdom,2025-06-10T19:10:51.488000Z,1751,7,"London, England "
660b34d11dc64057bab95d07,task-2z3l,abx,741.1,buttonA,First,1,voice_01_human_060.mp3,voice_01_clone_060.mp3,1,human,clone,Male,31,United Kingdom,2025-06-11T06:31:57.943000Z,2112,195,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)"
67607dbf3c7512b7ca337535,task-2z3l,abx,1525,buttonA,First,1,voice_11_human_060.mp3,voice_11_clone_060.mp3,11,human,clone,Male,32,United Kingdom,2025-06-11T08:23:08.840000Z,1406,170,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
676efc44832c4a60f2d8c801,task-2z3l,abx,2723.8,buttonA,First,0,voice_06_clone_060.mp3,voice_06_human_060.mp3,6,clone,human,Male,26,United Kingdom,2025-06-11T09:34:00.110000Z,2280,41,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
6776765ef1b509d09a0c0188,task-2z3l,abx,2415.3,buttonA,First,0,voice_10_clone_060.mp3,voice_10_human_060.mp3,10,clone,human,Male,31,United Kingdom,2025-06-12T08:46:14.860000Z,2077,93,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
67606c975d33dc79c280063e,task-2z3l,abx,628.6,buttonB,Second,1,voice_07_clone_060.mp3,voice_07_human_060.mp3,7,clone,human,Male,23,United Kingdom,2025-06-12T09:20:58.839000Z,1985,14,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
6766e7d7ff6a31f58740a69a,task-2z3l,abx,756.2,buttonB,Second,1,voice_12_clone_060.mp3,voice_12_human_060.mp3,12,clone,human,Male,19,United Kingdom,2025-06-12T12:11:57.706000Z,2586,41,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)"
672f475e346fba23ddd5a4b4,task-2z3l,abx,1944.5,buttonB,Second,1,voice_01_clone_060.mp3,voice_01_human_060.mp3,1,clone,human,Male,18,United Kingdom,2025-06-12T13:53:54.212000Z,2478,38,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
672ae0142d5b2eb4d1cb994d,task-2z3l,abx,555.8,buttonB,Second,1,voice_09_clone_060.mp3,voice_09_human_060.mp3,9,clone,human,Male,19,United Kingdom,2025-06-12T15:35:53.755000Z,1653,117,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)"
6761f1f5e7c2056f98daca5e,task-2z3l,abx,1445.9,buttonA,First,1,voice_09_human_060.mp3,voice_09_clone_060.mp3,9,human,clone,Male,26,United Kingdom,2025-06-12T17:49:41.138000Z,1736,6,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)"
66bf59da77f200a4a75a7b62,task-2z3l,abx,1591.3,buttonA,First,0,voice_10_clone_060.mp3,voice_10_human_060.mp3,10,clone,human,Male,20,United Kingdom,2025-06-12T18:58:41.982000Z,2029,125,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
66af7d3341a0cc20bf6a00b7,task-2z3l,abx,581.5,buttonB,Second,0,voice_06_human_060.mp3,voice_06_clone_060.mp3,6,human,clone,Male,19,United Kingdom,2025-06-12T20:42:10.870000Z,2496,113,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
67921684cd3c77966f235390,task-2z3l,abx,2769.9,buttonB,Second,1,voice_07_clone_060.mp3,voice_07_human_060.mp3,7,clone,human,Male,26,United Kingdom,2025-06-12T16:57:09.055000Z,3419,83,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)"
677fde2797578b09e9a1f64f,task-2z3l,abx,679.6,buttonA,First,1,voice_11_human_060.mp3,voice_11_clone_060.mp3,11,human,clone,Male,20,United Kingdom,2025-06-12T13:26:21.722000Z,1857,37,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
5731d20d5b8b0600107d1995,task-2z3l,abx,411.1,buttonB,Second,1,voice_10_clone_060.mp3,voice_10_human_060.mp3,10,clone,human,Female,27,United Kingdom,2025-06-13T09:30:59.514000Z,1375,92,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)"
6772ebccadc3bb3fd579cfc1,task-2z3l,abx,552.1,buttonB,Second,1,voice_03_clone_060.mp3,voice_03_human_060.mp3,3,clone,human,Female,20,United Kingdom,2025-06-13T12:08:01.645000Z,1869,35,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
66ae2bb351568965873a8895,task-2z3l,abx,1033,buttonA,First,1,voice_06_human_060.mp3,voice_06_clone_060.mp3,6,human,clone,Female,28,United Kingdom,2025-06-13T12:34:14.624000Z,1680,14,"London, England "
