Nr,Event,Participant,TaskID,Reaction.Time,Audio,ANSWER,Word1,Word2,Word3,Word4,Word5,Response,WordsCorrect,Accuracy,Voice,Type,SentenceID,Noise,SubjectNr,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location,IntelligibilityTask
1833,368,6790fdd894f8d92d7835134c,task-ajvt,5006.6,voice_06_clone_038_0dB.mp3,there the flood mark is ten inches,there,flood,mark,ten,inches,there the floodmark is ten inches,5,1,9,human,38,3dB,NA,Female,33,United Kingdom,2025-01-23T15:57:24.030000Z,1296,7,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task15
1863,12,5b3016a9a8327d0001ffef94,task-obom,6786.9,voice_06_human_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bath water,5,1,1,clone,39,0dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
1864,109,5ff61f4fe313fd16fbeb5af6,task-rhl1,6657.1,voice_01_clone_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bath water,5,1,7,human,39,0dB,NA,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,1251,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task19
1865,4,63e51e9a9457c003c4d44c9e,task-2t53,6273.6,voice_08_human_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bathwater ,5,1,1,human,39,0dB,NA,Female,35,United Kingdom,2025-01-23T15:20:31.602000Z,1453,158,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task04
1866,32,6575c7da000442e5a54f5e24,task-ulhi,5061.7,voice_07_human_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap ontop of the bath water,5,1,3,human,39,0dB,NA,Male,28,United Kingdom,2025-01-27T12:51:25.040000Z,1202,195,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task05
1867,95,6658b2c0589d777bab78ad38,task-r77z,12149.8,voice_11_clone_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top the bath water,5,1,6,clone,39,0dB,NA,Male,23,United Kingdom,2025-01-23T15:17:26.232000Z,1443,138,"London, England ",Task11
1868,176,6658b4ff0f6362e1f068dd84,task-4oa6,12890.8,voice_04_clone_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,Float the soap on top of the bath water,5,1,11,human,39,0dB,NA,Female,32,United Kingdom,2025-01-23T17:08:30.775000Z,1380,190,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task17
1869,203,66e2bb6110820bec659a6d23,task-dfmo,6345.4,voice_03_clone_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bathwater,5,1,7,clone,39,0dB,NA,Female,29,United Kingdom,2025-01-28T14:38:38.331000Z,1268,65,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task18
1874,508,6753141d924a3b764f3af127,task-diot,10905.6,voice_09_human_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bathwater,5,1,11,clone,39,3dB,NA,Male,33,United Kingdom,2025-01-28T14:46:59.597000Z,3142,162,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task03
1875,597,67533900abe33875786164cc,task-ny3a,13690.7,voice_10_clone_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bath water,5,1,4,clone,39,3dB,NA,Female,33,United Kingdom,2025-01-28T15:29:16.740000Z,2856,85,Scotland,Task12
1876,672,6754aef250b2cb04d504adb1,task-6ung,14468,voice_03_human_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bath water,5,1,3,clone,39,3dB,NA,Female,24,United Kingdom,2025-01-28T14:21:10.082000Z,1451,63,Scotland,Task08
1877,192,6762b46f8efa75acc7746500,task-jjv3,7641.5,voice_06_clone_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bath water,5,1,10,clone,39,3dB,NA,Male,22,United Kingdom,2025-01-27T10:36:07.143000Z,1179,118,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task16
1878,765,67633e21c1dbfc7844faf425,task-2a7e,5270.2,voice_09_clone_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap ontop of the bath water,5,1,9,clone,39,3dB,NA,Male,32,United Kingdom,2025-01-28T14:13:43.216000Z,1257,136,Scotland,Task13
1881,346,678d803c7a10b7d9085925ca,task-njj9,8716.7,voice_11_human_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bathwater,5,1,7,human,39,3dB,NA,Male,26,United Kingdom,2025-01-27T10:10:46.914000Z,2333,17,Scotland,Task01
1882,336,6790fdd894f8d92d7835134c,task-ajvt,6609.3,voice_07_clone_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bathwater,5,1,3,human,39,3dB,NA,Female,33,United Kingdom,2025-01-23T15:57:24.030000Z,1296,7,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task15
1885,193,66982d11d7d50b532313478d,task-16xx,7512.7,voice_12_clone_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bath water,5,1,11,human,39,3dB,NA,Female,29,United Kingdom,2025-02-03T15:28:52.619000Z,1465,153,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task20
1886,288,671de38b70419e476bff2e09,task-sjhp,9175.6,voice_04_human_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bath water,5,1,1,human,39,3dB,NA,Female,30,United Kingdom,2025-02-03T15:24:27.123000Z,1282,171,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Task07
1888,21,674547704d6adcc40d2874a5,task-mc6j,8331,voice_12_human_039_0dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap ontop of the bath water,5,1,9,human,39,3dB,NA,Female,19,United Kingdom,2025-02-03T18:28:25.096000Z,1542,77,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task10
1889,32,6786d7a40dccb69b974eaaf8,task-tk4x,7744.4,voice_01_clone_039_3dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bath water,5,1,11,human,39,3dB,NA,Male,19,United Kingdom,2025-02-01T13:20:04.774000Z,2683,41,"London, England ",Task39
1890,100,67628c956106c1752ccacb35,task-4yg1,13378.7,voice_12_clone_039_3dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,"float the soap on top of the bath water
",5,1,8,human,39,3dB,NA,Male,34,United Kingdom,2025-02-01T12:45:39.810000Z,1928,82,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Task40
1891,199,675cca3a27cd0a6fc7c16a9a,task-6oo8,11435.3,voice_11_clone_039_3dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bathwater,5,1,10,human,39,3dB,NA,Male,34,United Kingdom,2025-02-01T12:32:11.381000Z,1488,121,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Task31
1892,270,66a773d4190ba4a8ec71d766,task-x2qy,7590.3,voice_04_clone_039_3dB.mp3,float the soap on top of the bath water,float,soap,top,bath,water,float the soap on top of the bathwater,5,1,6,clone,39,3dB,NA,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,1218,169,"London, England ",Task37
1912,36,5b3016a9a8327d0001ffef94,task-obom,12317.5,voice_07_human_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,a blue crane is a tall wading bird,5,1,4,clone,40,0dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
1914,42,63e51e9a9457c003c4d44c9e,task-2t53,5875.2,voice_09_human_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,a blue crane is a tall wading bird,5,1,3,human,40,0dB,NA,Female,35,United Kingdom,2025-01-23T15:20:31.602000Z,1453,158,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task04
1916,111,6658b2c0589d777bab78ad38,task-r77z,9831.9,voice_12_clone_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,a blue crane is a tall wading bird,5,1,8,clone,40,0dB,NA,Male,23,United Kingdom,2025-01-23T15:17:26.232000Z,1443,138,"London, England ",Task11
1918,205,66e2bb6110820bec659a6d23,task-dfmo,6676.7,voice_04_clone_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,the blue crane is a tall wading bird,5,1,1,clone,40,0dB,NA,Female,29,United Kingdom,2025-01-28T14:38:38.331000Z,1268,65,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task18
1922,440,673646950eb7c31614a424bf,task-ea16,7581,voice_03_human_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,a blue crane is a tall wading bird,5,1,6,clone,40,3dB,NA,Female,26,United Kingdom,2025-01-28T14:33:04.554000Z,1390,180,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task09
1923,518,6753141d924a3b764f3af127,task-diot,11651.8,voice_10_human_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,a blue crane is a tall wading bird,5,1,4,clone,40,3dB,NA,Male,33,United Kingdom,2025-01-28T14:46:59.597000Z,3142,162,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task03
1924,614,67533900abe33875786164cc,task-ny3a,16564.3,voice_11_clone_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,a blue crane is a tall wading bird,5,1,11,clone,40,3dB,NA,Female,33,United Kingdom,2025-01-28T15:29:16.740000Z,2856,85,Scotland,Task12
1925,695,6754aef250b2cb04d504adb1,task-6ung,9696.1,voice_04_human_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,a blue craine is a tall wading bird,5,1,7,clone,40,3dB,NA,Female,24,United Kingdom,2025-01-28T14:21:10.082000Z,1451,63,Scotland,Task08
1926,201,6762b46f8efa75acc7746500,task-jjv3,9671.1,voice_07_clone_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,A blue crane is a tall wadeing bird,5,1,9,clone,40,3dB,NA,Male,22,United Kingdom,2025-01-27T10:36:07.143000Z,1179,118,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task16
1927,777,67633e21c1dbfc7844faf425,task-2a7e,7480.4,voice_10_clone_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,a blue crane is a tall wading bird,5,1,8,human,40,3dB,NA,Male,32,United Kingdom,2025-01-28T14:13:43.216000Z,1257,136,Scotland,Task13
1930,371,678d803c7a10b7d9085925ca,task-njj9,7948.4,voice_12_human_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,a blue crane is a tall wading bird,5,1,12,human,40,3dB,NA,Male,26,United Kingdom,2025-01-27T10:10:46.914000Z,2333,17,Scotland,Task01
1931,365,6790fdd894f8d92d7835134c,task-ajvt,4332.6,voice_08_clone_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,a blue crane is a tall wading bird,5,1,3,human,40,3dB,NA,Female,33,United Kingdom,2025-01-23T15:57:24.030000Z,1296,7,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task15
1933,116,60870e7b286405a9ad9ec7e7,task-i46j,10883.3,voice_09_clone_040_0dB.mp3,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,a blue crane is a tall wading bird,5,1,7,clone,40,3dB,NA,Female,27,United Kingdom,2025-02-03T16:09:16.747000Z,1652,39,"London, England ",Task14
1961,70,5b3016a9a8327d0001ffef94,task-obom,9209.5,voice_08_clone_041_-3dB.mp3,the wreck occurred by the bank on main street,wreck,occurred,bank,main,street,the wreck occured by the bank on street,5,1,4,human,41,0dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
1962,130,5ff61f4fe313fd16fbeb5af6,task-rhl1,6807.7,voice_04_human_041_-3dB.mp3,the wreck occurred by the bank on main street,wreck,occurred,bank,main,street,the wreck occured by the bank on main street,5,1,1,human,41,0dB,NA,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,1251,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task19
1963,49,63e51e9a9457c003c4d44c9e,task-2t53,7697.5,voice_10_clone_041_-3dB.mp3,the wreck occurred by the bank on main street,wreck,occurred,bank,main,street,the wreck occurred by the bank near main street,5,1,7,human,41,0dB,NA,Female,35,United Kingdom,2025-01-23T15:20:31.602000Z,1453,158,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task04
1964,44,6575c7da000442e5a54f5e24,task-ulhi,6345.4,voice_09_clone_041_-3dB.mp3,the wreck occurred by the bank on main street,wreck,occurred,bank,main,street,the reck occurred by the bank on main street ,5,1,9,clone,41,0dB,NA,Male,28,United Kingdom,2025-01-27T12:51:25.040000Z,1202,195,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task05
1965,145,6658b2c0589d777bab78ad38,task-r77z,6097.3,voice_01_human_041_-3dB.mp3,the wreck occurred by the bank on main street,wreck,occurred,bank,main,street,The wreck occured by the bank on main street,5,1,7,clone,41,0dB,NA,Male,23,United Kingdom,2025-01-23T15:17:26.232000Z,1443,138,"London, England ",Task11
1966,214,6658b4ff0f6362e1f068dd84,task-4oa6,8302.3,voice_07_human_041_-3dB.mp3,the wreck occurred by the bank on main street,wreck,occurred,bank,main,street,the wreck occured by the bank on Main Street,5,1,1,clone,41,0dB,NA,Female,32,United Kingdom,2025-01-23T17:08:30.775000Z,1380,190,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task17
1967,249,66e2bb6110820bec659a6d23,task-dfmo,7164.1,voice_06_human_041_-3dB.mp3,the wreck occurred by the bank on main street,wreck,occurred,bank,main,street,the wreck occured by the bank on maine street,5,1,4,clone,41,0dB,NA,Female,29,United Kingdom,2025-01-28T14:38:38.331000Z,1268,65,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task18
2010,63,5b3016a9a8327d0001ffef94,task-obom,7299.3,voice_09_clone_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,a pencil with black lead writes best,5,1,9,clone,42,-3dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
2011,146,5ff61f4fe313fd16fbeb5af6,task-rhl1,6699.8,voice_06_human_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,the penicl was black lead writes best,5,1,6,human,42,-3dB,NA,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,1251,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task19
2012,55,63e51e9a9457c003c4d44c9e,task-2t53,5780.9,voice_11_clone_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,the pencil with black lead writes best,5,1,10,clone,42,-3dB,NA,Female,35,United Kingdom,2025-01-23T15:20:31.602000Z,1453,158,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task04
2013,65,6575c7da000442e5a54f5e24,task-ulhi,7647.9,voice_10_clone_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,the pencil with black lead writes best,5,1,6,clone,42,-3dB,NA,Male,28,United Kingdom,2025-01-27T12:51:25.040000Z,1202,195,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task05
2014,131,6658b2c0589d777bab78ad38,task-r77z,5628.9,voice_03_human_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,a pencil with black lead writes best,5,1,11,human,42,-3dB,NA,Male,23,United Kingdom,2025-01-23T15:17:26.232000Z,1443,138,"London, England ",Task11
2015,238,6658b4ff0f6362e1f068dd84,task-4oa6,6739.1,voice_08_human_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,a pencil with black lead writes best,5,1,8,clone,42,-3dB,NA,Female,32,United Kingdom,2025-01-23T17:08:30.775000Z,1380,190,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task17
2016,232,66e2bb6110820bec659a6d23,task-dfmo,7842.7,voice_07_human_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,pencil black lead writes best,5,1,1,clone,42,-3dB,NA,Female,29,United Kingdom,2025-01-28T14:38:38.331000Z,1268,65,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task18
2020,467,673646950eb7c31614a424bf,task-ea16,7449.8,voice_06_clone_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,pencil with black lead writes best,5,1,9,human,42,0dB,NA,Female,26,United Kingdom,2025-01-28T14:33:04.554000Z,1390,180,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task09
2021,565,6753141d924a3b764f3af127,task-diot,3343.8,voice_12_clone_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,a pencil of black lead writes best,5,1,11,human,42,0dB,NA,Male,33,United Kingdom,2025-01-28T14:46:59.597000Z,3142,162,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task03
2022,653,67533900abe33875786164cc,task-ny3a,20751.3,voice_01_human_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,a pencil with black lead writes best ,5,1,10,clone,42,0dB,NA,Female,33,United Kingdom,2025-01-28T15:29:16.740000Z,2856,85,Scotland,Task12
2023,719,6754aef250b2cb04d504adb1,task-6ung,13668.2,voice_07_clone_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,a pencil with black lead writes best,5,1,7,clone,42,0dB,NA,Female,24,United Kingdom,2025-01-28T14:21:10.082000Z,1451,63,Scotland,Task08
2024,211,6762b46f8efa75acc7746500,task-jjv3,3716.4,voice_09_human_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,A pencil with black led writes best,5,1,8,clone,42,0dB,NA,Male,22,United Kingdom,2025-01-27T10:36:07.143000Z,1179,118,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task16
2025,825,67633e21c1dbfc7844faf425,task-2a7e,2022.2,voice_12_human_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,a pencil with black lead writes best,5,1,3,clone,42,0dB,NA,Male,32,United Kingdom,2025-01-28T14:13:43.216000Z,1257,136,Scotland,Task13
2028,409,678d803c7a10b7d9085925ca,task-njj9,5803.8,voice_03_clone_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,pencil with black lead writes best,5,1,3,clone,42,0dB,NA,Male,26,United Kingdom,2025-01-27T10:10:46.914000Z,2333,17,Scotland,Task01
2029,376,6790fdd894f8d92d7835134c,task-ajvt,6846.9,voice_10_human_042_-3dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,the pencil with black lead writes best,5,1,11,clone,42,0dB,NA,Female,33,United Kingdom,2025-01-23T15:57:24.030000Z,1296,7,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task15
2037,150,67628c956106c1752ccacb35,task-4yg1,9473.6,voice_04_human_042_0dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,the pencil with black led writes best,5,1,3,human,42,0dB,NA,Male,34,United Kingdom,2025-02-01T12:45:39.810000Z,1928,82,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Task40
2038,221,675cca3a27cd0a6fc7c16a9a,task-6oo8,10445.9,voice_03_human_042_0dB.mp3,a pencil with black lead writes best,pencil,black,lead,writes,best,a pencil with black led writes best,5,1,7,human,42,0dB,NA,Male,34,United Kingdom,2025-02-01T12:32:11.381000Z,1488,121,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Task31
2059,74,5b3016a9a8327d0001ffef94,task-obom,11612.2,voice_10_clone_043_-3dB.mp3,they floated on the raft to sun their white backs,floated,raft,sun,white,backs,i floated on the raft to sun their white backs,5,1,12,clone,43,-3dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
2060,164,5ff61f4fe313fd16fbeb5af6,task-rhl1,3757.7,voice_07_human_043_-3dB.mp3,they floated on the raft to sun their white backs,floated,raft,sun,white,backs,they floated on the raft to sun their white backs,5,1,3,human,43,0dB,NA,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,1251,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task19
2061,50,63e51e9a9457c003c4d44c9e,task-2t53,6951.9,voice_12_clone_043_-3dB.mp3,they floated on the raft to sun their white backs,floated,raft,sun,white,backs,they floated on the raft to sun their white backs,5,1,11,clone,43,0dB,NA,Female,35,United Kingdom,2025-01-23T15:20:31.602000Z,1453,158,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task04
2062,47,6575c7da000442e5a54f5e24,task-ulhi,5738.1,voice_11_clone_043_-3dB.mp3,they floated on the raft to sun their white backs,floated,raft,sun,white,backs,they floated on the raft to sun their white backs,5,1,8,clone,43,0dB,NA,Male,28,United Kingdom,2025-01-27T12:51:25.040000Z,1202,195,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task05
2063,129,6658b2c0589d777bab78ad38,task-r77z,6185.2,voice_04_human_043_-3dB.mp3,they floated on the raft to sun their white backs,floated,raft,sun,white,backs,they floated on the raft to sun their white backs,5,1,7,clone,43,0dB,NA,Male,23,United Kingdom,2025-01-23T15:17:26.232000Z,1443,138,"London, England ",Task11
2108,48,5b3016a9a8327d0001ffef94,task-obom,8936.1,voice_11_clone_044_-3dB.mp3,some ads serve to cheat buyers,some,ads,serve,cheat,buyers,some ads serve to cheat buyers,5,1,7,human,44,0dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
2109,127,5ff61f4fe313fd16fbeb5af6,task-rhl1,3893.8,voice_08_human_044_-3dB.mp3,some ads serve to cheat buyers,some,ads,serve,cheat,buyers,some ads serve to cheat buyers,5,1,1,human,44,0dB,NA,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,1251,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task19
2110,52,63e51e9a9457c003c4d44c9e,task-2t53,5529.1,voice_01_clone_044_-3dB.mp3,some ads serve to cheat buyers,some,ads,serve,cheat,buyers,some ads served to cheat buyers,5,1,6,clone,44,0dB,NA,Female,35,United Kingdom,2025-01-23T15:20:31.602000Z,1453,158,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task04
2157,79,5b3016a9a8327d0001ffef94,task-obom,8691.1,voice_12_clone_045_-3dB.mp3,jerk the rope and the bell rings weakly,jerk,rope,bell,rings,weakly,jerked the rope and the bell rings weakely,5,1,3,human,45,0dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
2158,153,5ff61f4fe313fd16fbeb5af6,task-rhl1,612.4,voice_09_human_045_-3dB.mp3,jerk the rope and the bell rings weakly,jerk,rope,bell,rings,weakly,jerk the rope and the bell rings weakly,5,1,7,clone,45,0dB,NA,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,1251,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task19
2206,45,5b3016a9a8327d0001ffef94,task-obom,6450,voice_01_clone_046_-3dB.mp3,add salt before you fry the egg,add,salt,before,fry,egg,add salt before you fry the egg,5,1,1,clone,46,-3dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
2207,166,5ff61f4fe313fd16fbeb5af6,task-rhl1,6032.7,voice_10_human_046_-3dB.mp3,add salt before you fry the egg,add,salt,before,fry,egg,add salt before you fry the egg,5,1,10,human,46,-3dB,NA,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,1251,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task19
2209,52,6575c7da000442e5a54f5e24,task-ulhi,5497.6,voice_03_clone_046_-3dB.mp3,add salt before you fry the egg,add,salt,before,fry,egg,add salt before you fry the egg,5,1,12,clone,46,-3dB,NA,Male,28,United Kingdom,2025-01-27T12:51:25.040000Z,1202,195,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task05
2210,143,6658b2c0589d777bab78ad38,task-r77z,5614,voice_08_human_046_-3dB.mp3,add salt before you fry the egg,add,salt,before,fry,egg,add salt before you fry the egg,5,1,7,clone,46,-3dB,NA,Male,23,United Kingdom,2025-01-23T15:17:26.232000Z,1443,138,"London, England ",Task11
2211,242,6658b4ff0f6362e1f068dd84,task-4oa6,6283.3,voice_12_human_046_-3dB.mp3,add salt before you fry the egg,add,salt,before,fry,egg,add salt before you fry the egg,5,1,12,human,46,0dB,NA,Female,32,United Kingdom,2025-01-23T17:08:30.775000Z,1380,190,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task17
2212,211,66e2bb6110820bec659a6d23,task-dfmo,6523.1,voice_11_human_046_-3dB.mp3,add salt before you fry the egg,add,salt,before,fry,egg,add salt before you fry the egg,5,1,7,human,46,0dB,NA,Female,29,United Kingdom,2025-01-28T14:38:38.331000Z,1268,65,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task18
