Nr,Event,Participant,TaskID,Reaction.Time,Audio,ANSWER,Word1,Word2,Word3,Word4,Word5,Response,WordsCorrect,Accuracy,Voice,Type,SentenceID,Noise,SubjectNr,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location,IntelligibilityTask
17,10,67701cb8e95b8934348de694,task-imj1,9487.6,voice_09_human_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,10,clone,1,3dB,NA,Male,34,United Kingdom,2025-01-31T12:14:05.291000Z,1630,74,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task25
18,19,677af110577587c2e364d1d9,task-j8gt,7351.7,voice_11_human_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls ,5,1,1,human,1,3dB,NA,Male,34,United Kingdom,2025-01-31T12:24:55.087000Z,1390,59,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Task23
20,23,67865aa1cf8ca2f3ecd2f6f1,task-2ocn,1573.7,voice_10_human_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,12,human,1,3dB,NA,Male,28,United Kingdom,2025-01-31T12:33:56.837000Z,2964,50,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task24
21,5,678a98fcd4e1562e43020dcb,task-r7i4,9231.5,voice_12_human_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,the rice is often served in round bowls,5,1,10,clone,1,3dB,NA,Male,31,United Kingdom,2025-01-31T12:16:52.041000Z,1606,31,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Task22
22,18,5f6de39e91b3c4283af75851,task-k8cy,6646.4,voice_08_clone_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,3,clone,1,3dB,NA,Female,22,United Kingdom,2025-02-03T16:44:13.315000Z,1357,54,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task36
23,432,67660267ee75be78076712d5,task-6xu5,16770.3,voice_03_human_001_-6dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in rounf bowls,5,1,12,human,1,3dB,NA,Female,34,United Kingdom,2025-02-03T16:26:18.857000Z,2763,30,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task30
24,37,5b3016a9a8327d0001ffef94,task-obom,5823.4,voice_08_human_001_3dB.mp3,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,3,human,1,3dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
50,28,6786d7a40dccb69b974eaaf8,task-tk4x,2576.5,voice_06_clone_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,3,clone,2,-6dB,NA,Male,19,United Kingdom,2025-02-01T13:20:04.774000Z,2683,41,"London, England ",Task39
51,118,67628c956106c1752ccacb35,task-4yg1,9356.7,voice_04_clone_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,7,clone,2,-6dB,NA,Male,34,United Kingdom,2025-02-01T12:45:39.810000Z,1928,82,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Task40
52,206,675cca3a27cd0a6fc7c16a9a,task-6oo8,11312.5,voice_03_clone_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,9,human,2,3dB,NA,Male,34,United Kingdom,2025-02-01T12:32:11.381000Z,1488,121,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Task31
