Type,Noise,Voice,SentenceID,Participant,StimulusID,Tree.Node.Key,IntelligibilityTask,Sex,Age,BirthCountry,Date,,Approvals,Location,,,,Reaction.Time,EventCode,ANSWER,Response,WordsCorrect,Accuracy,TimeTaken
clone,-3dB,10,79,678a98fcd4e1562e43020dcb,voice_10_clone_079_-3dB.mp3,task-r7i4,Task22,Male,31,United Kingdom,2025-01-31T12:16:52.041000Z,,31,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",,,,8631,49,the music played on while they talked,the music played on while they talked,5,1,1606
clone,3dB,7,34,67628c956106c1752ccacb35,voice_07_clone_034_3dB.mp3,task-4yg1,Task40,Male,34,United Kingdom,2025-02-01T12:45:39.810000Z,,82,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",,,,8208.9,122,the new girl was fired today at noon,the new girl was fired today at noon ,5,1,1928
clone,3dB,6,34,675cca3a27cd0a6fc7c16a9a,voice_06_clone_034_3dB.mp3,task-6oo8,Task31,Male,34,United Kingdom,2025-02-01T12:32:11.381000Z,,121,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",,,,7831.5,181,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1488
clone,3dB,9,34,667d95b8b25237ac4e75dfc7,voice_09_clone_034_3dB.mp3,task-lcuh,Task38,Male,30,United Kingdom,2025-02-01T12:57:40.481000Z,,79,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,6760.8,354,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1571
clone,3dB,4,34,6728b1f4fe2f3ae23c9c086e,voice_04_clone_034_3dB.mp3,task-a44t,Task32,Male,19,United Kingdom,2025-02-01T12:36:11.474000Z,,119,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,8752.1,429,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1578
clone,3dB,1,34,668aa1000b1af4158ed5f71b,voice_01_clone_034_3dB.mp3,task-s2xz,Task34,Male,20,United Kingdom,2025-02-01T12:28:50.509000Z,,108,Wales,,,,7220,675,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1163
clone,3dB,12,34,6772052b4d23a9043a01c294,voice_12_clone_034_3dB.mp3,task-plll,Task35,Male,20,United Kingdom,2025-02-01T12:32:12.781000Z,,32,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",,,,8531,751,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1187
human,3dB,6,34,672b19cc67687cb549eb412c,voice_06_human_034_3dB.mp3,task-q6h3,Task21,Male,35,United Kingdom,2025-01-31T11:15:25.742000Z,,100,Scotland,,,,8842.3,4,the new girl was fired today at noon,the new girl was fire today at noon,5,1,1509
human,3dB,8,34,67468d12f6ec9cc78afdf1db,voice_08_human_034_3dB.mp3,task-xvn5,Task29,Female,26,United Kingdom,2025-01-31T12:31:53.870000Z,,21,"London, England ",,,,5047.3,43,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1066
human,3dB,3,34,677af110577587c2e364d1d9,voice_03_human_034_3dB.mp3,task-j8gt,Task23,Male,34,United Kingdom,2025-01-31T12:24:55.087000Z,,59,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,5653.6,40,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1390
human,3dB,1,34,67865aa1cf8ca2f3ecd2f6f1,voice_01_human_034_3dB.mp3,task-2ocn,Task24,Male,28,United Kingdom,2025-01-31T12:33:56.837000Z,,50,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,5269.6,21,the new girl was fired today at noon,The new girl was fired today at noon,5,1,2964
clone,0dB,8,34,5ff61f4fe313fd16fbeb5af6,voice_08_clone_034_0dB.mp3,task-rhl1,Task19,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,8201.6,88,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1251
clone,0dB,11,34,6762b46f8efa75acc7746500,voice_11_clone_034_0dB.mp3,task-jjv3,Task16,Male,22,United Kingdom,2025-01-27T10:36:07.143000Z,,118,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,10841.9,200,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1179
clone,0dB,3,34,67633e21c1dbfc7844faf425,voice_03_clone_034_0dB.mp3,task-2a7e,Task13,Male,32,United Kingdom,2025-01-28T14:13:43.216000Z,,136,Scotland,,,,6951.1,757,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1257
clone,3dB,11,34,5f6de39e91b3c4283af75851,voice_11_clone_034_3dB.mp3,task-k8cy,Task36,Female,22,United Kingdom,2025-02-03T16:44:13.315000Z,,54,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,6662.2,4,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1357
clone,0dB,1,34,60870e7b286405a9ad9ec7e7,voice_01_clone_034_0dB.mp3,task-i46j,Task14,Female,27,United Kingdom,2025-02-03T16:09:16.747000Z,,39,"London, England ",,,,7621,99,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1652
clone,0dB,7,34,66982d11d7d50b532313478d,voice_07_clone_034_0dB.mp3,task-16xx,Task20,Female,29,United Kingdom,2025-02-03T15:28:52.619000Z,,153,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,8424.8,185,the new girl was fired today at noon,the new girl was fired today at noon,5,1,1465
human,0dB,1,57,66a773d4190ba4a8ec71d766,voice_01_human_057_0dB.mp3,task-x2qy,Task37,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,,169,"London, England ",,,,10126.7,317,the nozzle of the fire hose was bright brass,the nozzle of a fire hose is bright brass,5,1,1218
human,0dB,8,57,6728b1f4fe2f3ae23c9c086e,voice_08_human_057_0dB.mp3,task-a44t,Task32,Male,19,United Kingdom,2025-02-01T12:36:11.474000Z,,119,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,10783.8,482,the nozzle of the fire hose was bright brass,the nozzle of the firehose was bright brass,5,1,1578
clone,0dB,1,57,6717d1d0d323342f71f132bd,voice_01_clone_057_0dB.mp3,task-vdfc,Task27,Female,26,United Kingdom,2025-01-31T12:15:59.112000Z,,18,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",,,,12157.1,65,the nozzle of the fire hose was bright brass,the nozzle of the fire hose was bright brass,5,1,1470
clone,0dB,11,57,67468d12f6ec9cc78afdf1db,voice_11_clone_057_0dB.mp3,task-xvn5,Task29,Female,26,United Kingdom,2025-01-31T12:31:53.870000Z,,21,"London, England ",,,,6615.1,71,the nozzle of the fire hose was bright brass,a nozzle at the fire hose was bright brass,5,1,1066
clone,0dB,6,57,67865aa1cf8ca2f3ecd2f6f1,voice_06_clone_057_0dB.mp3,task-2ocn,Task24,Male,28,United Kingdom,2025-01-31T12:33:56.837000Z,,50,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,7674.4,82,the nozzle of the fire hose was bright brass,the nozzle of the fire hose was bright brass,5,1,2964
clone,-3dB,3,57,5b3016a9a8327d0001ffef94,voice_03_clone_057_-3dB.mp3,task-obom,Task06,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,7369.8,75,the nozzle of the fire hose was bright brass,the nozzle of the firehouse was bright brass,5,1,1380
human,-3dB,6,57,60870e7b286405a9ad9ec7e7,voice_06_human_057_-3dB.mp3,task-i46j,Task14,Female,27,United Kingdom,2025-02-03T16:09:16.747000Z,,39,"London, England ",,,,5148.3,152,the nozzle of the fire hose was bright brass,quite nice,5,1,1652
human,3dB,11,12,63e51e9a9457c003c4d44c9e,voice_11_human_012_3dB.mp3,task-2t53,Task04,Female,35,United Kingdom,2025-01-23T15:20:31.602000Z,,158,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,6397.6,14,the pearl was worn in a thin silver ring,the pearl was worn in a thin silver ring,5,1,1453
clone,3dB,3,12,6658b2c0589d777bab78ad38,voice_03_clone_012_3dB.mp3,task-r77z,Task11,Male,23,United Kingdom,2025-01-23T15:17:26.232000Z,,138,"London, England ",,,,9789.6,123,the pearl was worn in a thin silver ring,the pearl was worn on a thin silver ring,5,1,1443
clone,3dB,7,12,66e2bb6110820bec659a6d23,voice_07_clone_012_3dB.mp3,task-dfmo,Task18,Female,29,United Kingdom,2025-01-28T14:38:38.331000Z,,65,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,6120.9,207,the pearl was worn in a thin silver ring,the pearl was worn in a thin silver ring,5,1,1268
human,3dB,12,12,6753141d924a3b764f3af127,voice_12_human_012_3dB.mp3,task-diot,Task03,Male,33,United Kingdom,2025-01-28T14:46:59.597000Z,,162,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,12456.3,513,the pearl was worn in a thin silver ring,the pearl was worn in a thin silver ring,5,1,3142
clone,3dB,1,12,67533900abe33875786164cc,voice_01_clone_012_3dB.mp3,task-ny3a,Task12,Female,33,United Kingdom,2025-01-28T15:29:16.740000Z,,85,Scotland,,,,19672.1,621,the pearl was worn in a thin silver ring,The panel was worn in a silver ring.,5,1,2856
clone,3dB,12,12,67633e21c1dbfc7844faf425,voice_12_clone_012_3dB.mp3,task-2a7e,Task13,Male,32,United Kingdom,2025-01-28T14:13:43.216000Z,,136,Scotland,,,,10710.2,751,the pearl was worn in a thin silver ring,the pearl was worn in the silver ring ,5,1,1257
clone,3dB,10,12,6790fdd894f8d92d7835134c,voice_10_clone_012_3dB.mp3,task-ajvt,Task15,Female,33,United Kingdom,2025-01-23T15:57:24.030000Z,,7,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,10314.3,373,the pearl was worn in a thin silver ring,the pearl was worn in a thin silver ring,5,1,1296
clone,3dB,11,12,60870e7b286405a9ad9ec7e7,voice_11_clone_012_3dB.mp3,task-i46j,Task14,Female,27,United Kingdom,2025-02-03T16:09:16.747000Z,,39,"London, England ",,,,16422.4,121,the pearl was worn in a thin silver ring,the pearl is worn in a thin silver ring,5,1,1652
clone,3dB,4,12,66982d11d7d50b532313478d,voice_04_clone_012_3dB.mp3,task-16xx,Task20,Female,29,United Kingdom,2025-02-03T15:28:52.619000Z,,153,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,8388.9,207,the pearl was worn in a thin silver ring,the pearl was worn in a thin silver ring,5,1,1465
human,3dB,8,12,671de38b70419e476bff2e09,voice_08_human_012_3dB.mp3,task-sjhp,Task07,Female,30,United Kingdom,2025-02-03T15:24:27.123000Z,,171,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",,,,6955.8,257,the pearl was worn in a thin silver ring,the pearl was worn in a thin silver ring,5,1,1282
human,3dB,1,12,673a3db560114414cc28e7df,voice_01_human_012_3dB.mp3,task-l9ym,Task02,Female,19,United Kingdom,2025-02-03T16:14:44.463000Z,,114,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,7793.9,374,the pearl was worn in a thin silver ring,the pearl was born in a thin silver ring,5,1,2056
human,3dB,4,12,674547704d6adcc40d2874a5,voice_04_human_012_3dB.mp3,task-mc6j,Task10,Female,19,United Kingdom,2025-02-03T18:28:25.096000Z,,77,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,9878,12,the pearl was worn in a thin silver ring,the pearl was worn in a thin silver ring,5,1,1542
clone,3dB,12,28,6786d7a40dccb69b974eaaf8,voice_12_clone_028_3dB.mp3,task-tk4x,Task39,Male,19,United Kingdom,2025-02-01T13:20:04.774000Z,,41,"London, England ",,,,6740.3,27,the pencils have all been used,the pencils have all been used,5,1,2683
clone,3dB,11,28,67628c956106c1752ccacb35,voice_11_clone_028_3dB.mp3,task-4yg1,Task40,Male,34,United Kingdom,2025-02-01T12:45:39.810000Z,,82,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",,,,7672.7,125,the pencils have all been used,the pencils have all been used,5,1,1928
clone,3dB,10,28,675cca3a27cd0a6fc7c16a9a,voice_10_clone_028_3dB.mp3,task-6oo8,Task31,Male,34,United Kingdom,2025-02-01T12:32:11.381000Z,,121,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",,,,10986,174,the pencils have all been used,the pencils have all been used,5,1,1488
clone,3dB,3,28,66a773d4190ba4a8ec71d766,voice_03_clone_028_3dB.mp3,task-x2qy,Task37,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,,169,"London, England ",,,,6152.4,253,the pencils have all been used,the pencils have all been used,5,1,1218
clone,3dB,1,28,667d95b8b25237ac4e75dfc7,voice_01_clone_028_3dB.mp3,task-lcuh,Task38,Male,30,United Kingdom,2025-02-01T12:57:40.481000Z,,79,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,6130.7,366,the pencils have all been used,the pencils have all been used,5,1,1571
clone,3dB,9,28,6728b1f4fe2f3ae23c9c086e,voice_09_clone_028_3dB.mp3,task-a44t,Task32,Male,19,United Kingdom,2025-02-01T12:36:11.474000Z,,119,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,7853,438,the pencils have all been used,the pencils have all been used,5,1,1578
clone,3dB,8,28,66d78e09da443c5b0f3fda98,voice_08_clone_028_3dB.mp3,task-zpav,Task33,Male,26,United Kingdom,2025-02-01T13:38:08.573000Z,,112,"London, England ",,,,7331.3,515,the pencils have all been used,the pencils have all been used,5,1,1696
clone,3dB,7,28,668aa1000b1af4158ed5f71b,voice_07_clone_028_3dB.mp3,task-s2xz,Task34,Male,20,United Kingdom,2025-02-01T12:28:50.509000Z,,108,Wales,,,,6370,707,the pencils have all been used,the pencils have all been used,5,1,1163
clone,3dB,6,28,6772052b4d23a9043a01c294,voice_06_clone_028_3dB.mp3,task-plll,Task35,Male,20,United Kingdom,2025-02-01T12:32:12.781000Z,,32,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",,,,6784,777,the pencils have all been used,the pencils have all been used,5,1,1187
human,3dB,6,28,5c1a371c03554a000119aaf7,voice_06_human_028_3dB.mp3,task-v562,Task26,Female,28,United Kingdom,2025-01-31T12:18:42.602000Z,,109,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,5892.4,29,the pencils have all been used,the pencils have all been used ,5,1,1943
human,3dB,1,28,65081e92ed65d2d467efc9c2,voice_01_human_028_3dB.mp3,task-zh25,Task28,Male,25,United Kingdom,2025-01-31T14:56:08.341000Z,,29,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,8285.6,35,the pencils have all been used,the pencils have all been used,5,1,2111
human,3dB,10,28,672b19cc67687cb549eb412c,voice_10_human_028_3dB.mp3,task-q6h3,Task21,Male,35,United Kingdom,2025-01-31T11:15:25.742000Z,,100,Scotland,,,,5910.3,29,the pencils have all been used,pencils have all been used,5,1,1509
human,3dB,12,28,67468d12f6ec9cc78afdf1db,voice_12_human_028_3dB.mp3,task-xvn5,Task29,Female,26,United Kingdom,2025-01-31T12:31:53.870000Z,,21,"London, England ",,,,4024.3,14,the pencils have all been used,the pencils have all been used,5,1,1066
human,3dB,6,28,67701cb8e95b8934348de694,voice_06_human_028_3dB.mp3,task-imj1,Task25,Male,34,United Kingdom,2025-01-31T12:14:05.291000Z,,74,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,5046.3,31,the pencils have all been used,the pencils have all been used ,5,1,1630
human,3dB,8,28,677af110577587c2e364d1d9,voice_08_human_028_3dB.mp3,task-j8gt,Task23,Male,34,United Kingdom,2025-01-31T12:24:55.087000Z,,59,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,8214.8,42,the pencils have all been used,the pencils have all been used,5,1,1390
human,3dB,7,28,67865aa1cf8ca2f3ecd2f6f1,voice_07_human_028_3dB.mp3,task-2ocn,Task24,Male,28,United Kingdom,2025-01-31T12:33:56.837000Z,,50,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,3914.3,27,the pencils have all been used,pencils have all been used,5,1,2964
human,0dB,4,28,5b3016a9a8327d0001ffef94,voice_04_human_028_0dB.mp3,task-obom,Task06,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,4703.3,38,the pencils have all been used,the pencils have all been used,5,1,1380
clone,0dB,12,28,5ff61f4fe313fd16fbeb5af6,voice_12_clone_028_0dB.mp3,task-rhl1,Task19,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,8010.2,125,the pencils have all been used,the pencils have all been used,5,1,1251
human,0dB,7,28,63e51e9a9457c003c4d44c9e,voice_07_human_028_0dB.mp3,task-2t53,Task04,Female,35,United Kingdom,2025-01-23T15:20:31.602000Z,,158,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,3315.3,28,the pencils have all been used,pencils have all been used,5,1,1453
clone,0dB,3,28,6658b4ff0f6362e1f068dd84,voice_03_clone_028_0dB.mp3,task-4oa6,Task17,Female,32,United Kingdom,2025-01-23T17:08:30.775000Z,,190,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,8446.6,181,the pencils have all been used,The pencils have all been used,5,1,1380
clone,0dB,1,28,66e2bb6110820bec659a6d23,voice_01_clone_028_0dB.mp3,task-dfmo,Task18,Female,29,United Kingdom,2025-01-28T14:38:38.331000Z,,65,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,5502.3,183,the pencils have all been used,the pencils have all been used,5,1,1268
human,0dB,12,28,673646950eb7c31614a424bf,voice_12_human_028_0dB.mp3,task-ea16,Task09,Female,26,United Kingdom,2025-01-28T14:33:04.554000Z,,180,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,5693.3,441,the pencils have all been used,the pencils have all been used,5,1,1390
human,0dB,8,28,6753141d924a3b764f3af127,voice_08_human_028_0dB.mp3,task-diot,Task03,Male,33,United Kingdom,2025-01-28T14:46:59.597000Z,,162,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,5284.5,541,the pencils have all been used,the pencils have all been used,5,1,3142
human,0dB,1,28,6754aef250b2cb04d504adb1,voice_01_human_028_0dB.mp3,task-6ung,Task08,Female,24,United Kingdom,2025-01-28T14:21:10.082000Z,,63,Scotland,,,,7077.5,682,the pencils have all been used,the pencils have all been used,5,1,1451
clone,0dB,4,28,6762b46f8efa75acc7746500,voice_04_clone_028_0dB.mp3,task-jjv3,Task16,Male,22,United Kingdom,2025-01-27T10:36:07.143000Z,,118,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,5858.2,189,the pencils have all been used,the pencils have all been used,5,1,1179
clone,0dB,8,28,67633e21c1dbfc7844faf425,voice_08_clone_028_0dB.mp3,task-2a7e,Task13,Male,32,United Kingdom,2025-01-28T14:13:43.216000Z,,136,Scotland,,,,7309.9,763,the pencils have all been used,"the pencils have all been used 
",5,1,1257
clone,0dB,6,28,6790fdd894f8d92d7835134c,voice_06_clone_028_0dB.mp3,task-ajvt,Task15,Female,33,United Kingdom,2025-01-23T15:57:24.030000Z,,7,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,4324.2,364,the pencils have all been used,the pencils have all been used,5,1,1296
clone,3dB,4,28,5f6de39e91b3c4283af75851,voice_04_clone_028_3dB.mp3,task-k8cy,Task36,Female,22,United Kingdom,2025-02-03T16:44:13.315000Z,,54,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,6910.2,35,the pencils have all been used,the pencils have all been used,5,1,1357
clone,0dB,7,28,60870e7b286405a9ad9ec7e7,voice_07_clone_028_0dB.mp3,task-i46j,Task14,Female,27,United Kingdom,2025-02-03T16:09:16.747000Z,,39,"London, England ",,,,5747.2,118,the pencils have all been used,the pencils have all been used,5,1,1652
clone,0dB,11,28,66982d11d7d50b532313478d,voice_11_clone_028_0dB.mp3,task-16xx,Task20,Female,29,United Kingdom,2025-02-03T15:28:52.619000Z,,153,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,5937.3,202,the pencils have all been used,the pencils have all been used,5,1,1465
human,0dB,3,28,671de38b70419e476bff2e09,voice_03_human_028_0dB.mp3,task-sjhp,Task07,Female,30,United Kingdom,2025-02-03T15:24:27.123000Z,,171,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",,,,6507.7,265,the pencils have all been used,pencils have all been used,5,1,1282
human,3dB,11,28,67660267ee75be78076712d5,voice_11_human_028_3dB.mp3,task-6xu5,Task30,Female,34,United Kingdom,2025-02-03T16:26:18.857000Z,,30,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,8546.1,423,the pencils have all been used,the pencils have all been used,5,1,2763
human,0dB,11,28,674547704d6adcc40d2874a5,voice_11_human_028_0dB.mp3,task-mc6j,Task10,Female,19,United Kingdom,2025-02-03T18:28:25.096000Z,,77,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,10334,4,the pencils have all been used,"the pencils have all been used
",5,1,1542
human,0dB,11,51,66d78e09da443c5b0f3fda98,voice_11_human_051_0dB.mp3,task-zpav,Task33,Male,26,United Kingdom,2025-02-01T13:38:08.573000Z,,112,"London, England ",,,,9555.2,551,the rude laugh filled the empty room,the rude laugh filled the emty room,5,1,1696
clone,0dB,7,51,6717d1d0d323342f71f132bd,voice_07_clone_051_0dB.mp3,task-vdfc,Task27,Female,26,United Kingdom,2025-01-31T12:15:59.112000Z,,18,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",,,,10844.8,58,the rude laugh filled the empty room,A rude laugh filled them empty room,5,1,1470
clone,0dB,11,51,677af110577587c2e364d1d9,voice_11_clone_051_0dB.mp3,task-j8gt,Task23,Male,34,United Kingdom,2025-01-31T12:24:55.087000Z,,59,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,10385.7,46,the rude laugh filled the empty room,the rude laugh filed the empty room,5,1,1390
clone,0dB,10,51,67865aa1cf8ca2f3ecd2f6f1,voice_10_clone_051_0dB.mp3,task-2ocn,Task24,Male,28,United Kingdom,2025-01-31T12:33:56.837000Z,,50,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,5685.5,61,the rude laugh filled the empty room,The rude laugh filled the empty room,5,1,2964
clone,-3dB,4,51,673646950eb7c31614a424bf,voice_04_clone_051_-3dB.mp3,task-ea16,Task09,Female,26,United Kingdom,2025-01-28T14:33:04.554000Z,,180,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,9460.4,498,the rude laugh filled the empty room,the rude laugh filled the empty room,5,1,1390
clone,-3dB,11,51,6753141d924a3b764f3af127,voice_11_clone_051_-3dB.mp3,task-diot,Task03,Male,33,United Kingdom,2025-01-28T14:46:59.597000Z,,162,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,9405.2,574,the rude laugh filled the empty room,rude laugh filled the empty room,5,1,3142
human,-3dB,4,80,667d95b8b25237ac4e75dfc7,voice_04_human_080_-3dB.mp3,task-lcuh,Task38,Male,30,United Kingdom,2025-02-01T12:57:40.481000Z,,79,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,11643.7,393,the screen before the fire kept in the sparks,the screen before the fire kept in the sparks,5,1,1571
clone,-3dB,10,80,677af110577587c2e364d1d9,voice_10_clone_080_-3dB.mp3,task-j8gt,Task23,Male,34,United Kingdom,2025-01-31T12:24:55.087000Z,,59,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,12074.4,72,the screen before the fire kept in the sparks,the screen before the fire kept in the sparks ,5,1,1390
clone,3dB,1,29,6786d7a40dccb69b974eaaf8,voice_01_clone_029_3dB.mp3,task-tk4x,Task39,Male,19,United Kingdom,2025-02-01T13:20:04.774000Z,,41,"London, England ",,,,11393.2,34,the sofa cushion is red and of light weight,the sofa cushion is red and of lightweight,5,1,2683
clone,3dB,12,29,67628c956106c1752ccacb35,voice_12_clone_029_3dB.mp3,task-4yg1,Task40,Male,34,United Kingdom,2025-02-01T12:45:39.810000Z,,82,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",,,,18295.1,123,the sofa cushion is red and of light weight,the sofa cushion is red and of light weight,5,1,1928
clone,3dB,11,29,675cca3a27cd0a6fc7c16a9a,voice_11_clone_029_3dB.mp3,task-6oo8,Task31,Male,34,United Kingdom,2025-02-01T12:32:11.381000Z,,121,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",,,,9431.7,175,the sofa cushion is red and of light weight,the sofa cushion is red and of light weight,5,1,1488
clone,3dB,4,29,66a773d4190ba4a8ec71d766,voice_04_clone_029_3dB.mp3,task-x2qy,Task37,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,,169,"London, England ",,,,21850.7,259,the sofa cushion is red and of light weight,the sofa cusion is red and of light weight,5,1,1218
clone,3dB,3,29,667d95b8b25237ac4e75dfc7,voice_03_clone_029_3dB.mp3,task-lcuh,Task38,Male,30,United Kingdom,2025-02-01T12:57:40.481000Z,,79,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,8851.5,356,the sofa cushion is red and of light weight,the sofa cushion was red and light weight,5,1,1571
clone,3dB,8,29,668aa1000b1af4158ed5f71b,voice_08_clone_029_3dB.mp3,task-s2xz,Task34,Male,20,United Kingdom,2025-02-01T12:28:50.509000Z,,108,Wales,,,,12976,693,the sofa cushion is red and of light weight,the sofa cushion is red and of light weight,5,1,1163
