Type,Noise,Voice,SentenceID,Participant,StimulusID,Tree.Node.Key,IntelligibilityTask,Sex,Age,BirthCountry,Date,,Approvals,Location,,,,Reaction.Time,EventCode,ANSWER,Response,WordsCorrect,Accuracy,TimeTaken
clone,0dB,11,40,67533900abe33875786164cc,voice_11_clone_040_0dB.mp3,task-ny3a,Task12,Female,33,United Kingdom,2025-01-28T15:29:16.740000Z,,85,Scotland,,,,16564.3,614,a blue crane is a tall wading bird,The blue crane is a tall wedding ball.,5,1,2856
clone,0dB,8,40,6790fdd894f8d92d7835134c,voice_08_clone_040_0dB.mp3,task-ajvt,Task15,Female,33,United Kingdom,2025-01-23T15:57:24.030000Z,,7,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,4332.6,365,a blue crane is a tall wading bird,a blue crane is a tall wading bird,5,1,1296
clone,3dB,7,40,5f6de39e91b3c4283af75851,voice_07_clone_040_3dB.mp3,task-k8cy,Task36,Female,22,United Kingdom,2025-02-03T16:44:13.315000Z,,54,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,7649.7,27,a blue crane is a tall wading bird,a blue crane is a tall wading bird,5,1,1357
clone,0dB,9,40,60870e7b286405a9ad9ec7e7,voice_09_clone_040_0dB.mp3,task-i46j,Task14,Female,27,United Kingdom,2025-02-03T16:09:16.747000Z,,39,"London, England ",,,,10883.3,116,a blue crane is a tall wading bird,the tall crane's a tall wading bird,5,1,1652
clone,0dB,1,40,66982d11d7d50b532313478d,voice_01_clone_040_0dB.mp3,task-16xx,Task20,Female,29,United Kingdom,2025-02-03T15:28:52.619000Z,,153,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,13962.5,178,a blue crane is a tall wading bird,the blue crane is a tall wading bird,5,1,1465
clone,3dB,3,22,675cca3a27cd0a6fc7c16a9a,voice_03_clone_022_3dB.mp3,task-6oo8,Task31,Male,34,United Kingdom,2025-02-01T12:32:11.381000Z,,121,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",,,,8491.7,194,a cramp is no small danger on a swim,a cramp is no small danger on a swim,5,1,1488
clone,3dB,8,22,66a773d4190ba4a8ec71d766,voice_08_clone_022_3dB.mp3,task-x2qy,Task37,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,,169,"London, England ",,,,5187.3,274,a cramp is no small danger on a swim,a cramp is no small danger on a swim,5,1,1218
clone,3dB,11,22,668aa1000b1af4158ed5f71b,voice_11_clone_022_3dB.mp3,task-s2xz,Task34,Male,20,United Kingdom,2025-02-01T12:28:50.509000Z,,108,Wales,,,,5432,706,a cramp is no small danger on a swim,a cramp is no small danger on a swim,5,1,1163
clone,3dB,10,22,6772052b4d23a9043a01c294,voice_10_clone_022_3dB.mp3,task-plll,Task35,Male,20,United Kingdom,2025-02-01T12:32:12.781000Z,,32,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",,,,9405,764,a cramp is no small danger on a swim,a cramp is no small danger on a swim,5,1,1187
clone,0dB,6,22,5ff61f4fe313fd16fbeb5af6,voice_06_clone_022_0dB.mp3,task-rhl1,Task19,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,6327.8,111,a cramp is no small danger on a swim,cramp is no small danger on a swim,5,1,1251
clone,0dB,10,22,6790fdd894f8d92d7835134c,voice_10_clone_022_0dB.mp3,task-ajvt,Task15,Female,33,United Kingdom,2025-01-23T15:57:24.030000Z,,7,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,5493.4,366,a cramp is no small danger on a swim,a cramp is no small danger on a swim,5,1,1296
