Nr,Event,Participant,TaskID,Reaction.Time,Audio,Voice,Type,Sentence,Noise,ANSWER,Word1,Word2,Word3,Word4,Word5,Response,WordsCorrect,Accuracy,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location
4,668,5a50e60dacc75b000179bb4c,task-6cvi,4907.4,voice_03_clone_020_0dB.mp3,3,clone,20,0dB,thieves who rob friends deserve jail,thieves,rob,friends,deserve,jail,thieves who rob friends deserve jail,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
9,673,5a50e60dacc75b000179bb4c,task-6cvi,6295.3,voice_01_clone_029_-3dB.mp3,1,clone,29,-3dB,the sofa cushion is red and of light weight,sofa,cushion,red,light,weight,the sofa cushion is red and light weight,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
11,675,5a50e60dacc75b000179bb4c,task-6cvi,4552.5,voice_04_clone_011_0dB.mp3,4,clone,11,0dB,a tame squirrel makes a nice pet,tame,squirrel,makes,nice,pet,a tame squirrel makes a nice pet,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
17,681,5a50e60dacc75b000179bb4c,task-6cvi,4275.1,voice_12_clone_018_0dB.mp3,12,clone,18,0dB,open the crate but don't break the glass,open,crate,don't,break,glass,open the crate but don't break the glass,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
18,682,5a50e60dacc75b000179bb4c,task-6cvi,5633.1,voice_06_clone_032_-3dB.mp3,6,clone,32,-3dB,there was a sound of dry leaves outside,there,sound,dry,leaves,outside,there was the sound of dry leaves outside,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
21,685,5a50e60dacc75b000179bb4c,task-6cvi,4620.1,voice_12_clone_008_0dB.mp3,12,clone,8,0dB,the wide road shimmered in the hot sun,wide,road,shimmered,hot,sun,the wide road shimmered in the hot sun,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
23,687,5a50e60dacc75b000179bb4c,task-6cvi,8219.7,voice_01_clone_019_0dB.mp3,1,clone,19,0dB,add the sum to the product of these three,add,sum,product,these,three,add the sum to the product of these three,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
24,688,5a50e60dacc75b000179bb4c,task-6cvi,5146.6,voice_03_clone_040_-3dB.mp3,3,clone,40,-3dB,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,blue crane is a tall wading bird,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
25,689,5a50e60dacc75b000179bb4c,task-6cvi,4015.4,voice_11_clone_017_0dB.mp3,11,clone,17,0dB,the bill was paid every third week,bill,paid,every,third,week,the bill was paid every third week,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
30,694,5a50e60dacc75b000179bb4c,task-6cvi,4545.4,voice_07_clone_003_0dB.mp3,7,clone,3,0dB,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
32,696,5a50e60dacc75b000179bb4c,task-6cvi,3933,voice_04_clone_001_0dB.mp3,4,clone,1,0dB,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
33,697,5a50e60dacc75b000179bb4c,task-6cvi,4094.6,voice_07_clone_023_-3dB.mp3,7,clone,23,-3dB,two plus seven is less than ten,two,plus,seven,less,ten,two plus seven is less than ten,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
34,698,5a50e60dacc75b000179bb4c,task-6cvi,3779,voice_01_clone_009_0dB.mp3,1,clone,9,0dB,lift the square stone over the fence,lift,square,stone,over,fence,lift the square stone over the fence,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
35,699,5a50e60dacc75b000179bb4c,task-6cvi,5714.9,voice_07_clone_013_0dB.mp3,7,clone,13,0dB,see the cat glaring at the scared mouse,see,cat,glaring,scared,mouse,see the cat glaring at the scared mouse,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
36,700,5a50e60dacc75b000179bb4c,task-6cvi,3350.1,voice_08_clone_005_0dB.mp3,9,clone,5,0dB,two blue fish swam in the tank,two,blue,fish,swam,tank,two blue fish swam in the tank,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
37,701,5a50e60dacc75b000179bb4c,task-6cvi,6694.7,voice_06_clone_002_0dB.mp3,6,clone,2,0dB,kick the ball straight and follow through,kick,ball,straight,follow,through,kicked the ball straight and followed through,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
40,704,5a50e60dacc75b000179bb4c,task-6cvi,4992.1,voice_04_clone_031_-3dB.mp3,4,clone,31,-3dB,steam hissed from the broken valve,steam,hissed,from,broken,valve,steam hissed from the broken valve,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
42,706,5a50e60dacc75b000179bb4c,task-6cvi,3934.5,voice_08_clone_014_0dB.mp3,8,clone,14,0dB,the grass curled around the fence post,grass,curled,around,fence,post,the grass curled around the fencepost,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
43,707,5a50e60dacc75b000179bb4c,task-6cvi,4495.2,voice_11_clone_007_0dB.mp3,11,clone,7,0dB,the meal was cooked before the bell rang,meal,cooked,before,bell,rang,the meal was cooked before the bell rang,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
44,708,5a50e60dacc75b000179bb4c,task-6cvi,5044.2,voice_08_human_064_3dB.mp3,8,human,64,3dB,code is used when secrets are sent,code,used,when,secrets,sent,code is used when secrets are sent,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
45,709,5a50e60dacc75b000179bb4c,task-6cvi,17560.5,voice_01_human_079_3dB.mp3,1,human,79,3dB,the music played on while they talked,music,played,while,they,talked,the music played on while they talked,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
47,711,5a50e60dacc75b000179bb4c,task-6cvi,5136.3,voice_11_human_067_3dB.mp3,11,human,67,3dB,it takes a good trap to capture a bear,takes,good,trap,capture,bear,it takes a good trap to capture a bear,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
49,713,5a50e60dacc75b000179bb4c,task-6cvi,5221.8,voice_01_human_069_3dB.mp3,1,human,69,3dB,the fur of cats goes by many names,fur,cats,goes,many,names,the fur of cats goes by many names,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
52,716,5a50e60dacc75b000179bb4c,task-6cvi,4972.3,voice_11_human_077_3dB.mp3,11,human,77,3dB,throw out the used paper cup and plate,throw,used,paper,cup,plate,throw out the used paper cup and plate,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
59,723,5a50e60dacc75b000179bb4c,task-6cvi,5022.7,voice_04_human_061_3dB.mp3,4,human,61,3dB,glass will clink when struck by metal,glass,will,clink,struck,metal,glass will clink when struck by metal,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
60,724,5a50e60dacc75b000179bb4c,task-6cvi,6423.1,voice_08_human_075_3dB.mp3,9,human,75,3dB,seed is needed to plant the spring corn,seed,needed,plant,spring,corn,seed is needed to plant the spring corn,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
63,727,5a50e60dacc75b000179bb4c,task-6cvi,3982.5,voice_04_human_071_3dB.mp3,4,human,71,3dB,fake stones shine but cost little,fake,stones,shine,cost,little,fake stones shine but cost little,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
64,728,5a50e60dacc75b000179bb4c,task-6cvi,4135.7,voice_10_human_066_3dB.mp3,10,human,66,3dB,just hoist it up and take it away,just,up,hoist,take,away,just hoist it up and take it away,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
68,732,5a50e60dacc75b000179bb4c,task-6cvi,4191,voice_06_human_072_3dB.mp3,6,human,72,3dB,a lathe cuts and trims any wood,lathe,cuts,trims,any,wood,the lathe cuts and trims any wood,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
70,734,5a50e60dacc75b000179bb4c,task-6cvi,5016.8,voice_12_human_078_3dB.mp3,12,human,78,3dB,to have is better than to wait and hope,have,better,than,wait,hope,to have is better than to wait and hope,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
73,737,5a50e60dacc75b000179bb4c,task-6cvi,6898.2,voice_03_human_070_3dB.mp3,3,human,70,3dB,a sash of gold silk will trim her dress,sash,gold,silk,trim,dress,a sash of gold silk will trim her dress,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
75,739,5a50e60dacc75b000179bb4c,task-6cvi,4206.9,voice_10_human_076_3dB.mp3,10,human,76,3dB,breakfast buns are fine with a hot drink,breakfast,buns,fine,hot,drink,breakfast buns are fine with a hot drink,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
77,741,5a50e60dacc75b000179bb4c,task-6cvi,4751.6,voice_06_human_062_3dB.mp3,6,human,62,3dB,the zones merge in the central part of town,zones,merge,central,part,town,zones merge in the central part of town,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
80,744,5a50e60dacc75b000179bb4c,task-6cvi,4895.8,voice_07_human_073_3dB.mp3,7,human,73,3dB,no cement will hold hard wood,no,cement,hold,hard,wood,no cement will hold hard wood,5,1,Male,33,United Kingdom,2025-05-27T18:14:11.318000Z,1540,117,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
92,175,5a65ea8363394a000155745d,task-yg5q,8731,voice_01_clone_007_-3dB.mp3,1,clone,7,-3dB,the meal was cooked before the bell rang,meal,cooked,before,bell,rang,a meal was cooked before the bell rang,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
96,179,5a65ea8363394a000155745d,task-yg5q,8903,voice_08_clone_023_-6dB.mp3,9,clone,23,-6dB,two plus seven is less than ten,two,plus,seven,less,ten,two plus seven is less than ten,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
98,181,5a65ea8363394a000155745d,task-yg5q,9353,voice_07_clone_001_-3dB.mp3,7,clone,1,-3dB,rice is often served in round bowls,rice,often,served,round,bowls,rice is often served in round bowls,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
127,210,5a65ea8363394a000155745d,task-yg5q,10813,voice_03_human_048_3dB.mp3,3,human,48,3dB,yell and clap as the curtain slides back,yell,clap,curtain,slides,back,yell and clap as the curtain slides back,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
129,212,5a65ea8363394a000155745d,task-yg5q,8636,voice_12_human_066_0dB.mp3,12,human,66,0dB,just hoist it up and take it away,just,up,hoist,take,away,just hoist it up and take it away,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
133,216,5a65ea8363394a000155745d,task-yg5q,12323,voice_08_human_052_3dB.mp3,8,human,52,3dB,the horse trotted around the field at a brisk pace,horse,trotted,field,brisk,pace,the horse trotted around the field at a brisk pace,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
136,219,5a65ea8363394a000155745d,task-yg5q,12235,voice_11_human_045_3dB.mp3,11,human,45,3dB,jerk the rope and the bell rings weakly,jerk,rope,bell,rings,weakly,jerk the rope and the bell rings weakly,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
137,220,5a65ea8363394a000155745d,task-yg5q,7294,voice_12_human_046_3dB.mp3,12,human,46,3dB,add salt before you fry the egg,add,salt,before,fry,egg,add salt before you fry the egg,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
141,224,5a65ea8363394a000155745d,task-yg5q,13045,voice_04_human_059_3dB.mp3,4,human,59,3dB,fill the ink jar with sticky glue,fill,ink,jar,sticky,glue,fill the ink jar with sticky glue,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
144,227,5a65ea8363394a000155745d,task-yg5q,11270,voice_01_human_047_3dB.mp3,1,human,47,3dB,jump the fence and hurry up the bank,jump,fence,hurry,up,bank,jump the fence and hurry up the bank,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
146,229,5a65ea8363394a000155745d,task-yg5q,10036,voice_01_human_057_3dB.mp3,1,human,57,3dB,the nozzle of the fire hose was bright brass,nozzle,fire,hose,bright,brass,the nozzle of the fire hose was bright brass,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
149,232,5a65ea8363394a000155745d,task-yg5q,10996,voice_04_human_049_3dB.mp3,4,human,49,3dB,the houses are built of red clay bricks,houses,built,red,clay,bricks,the houses are built of red clay bricks,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
150,233,5a65ea8363394a000155745d,task-yg5q,10316,voice_08_human_042_3dB.mp3,8,human,42,3dB,a pencil with black lead writes best,pencil,black,lead,writes,best,a pencil with black lead writes best,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
151,234,5a65ea8363394a000155745d,task-yg5q,10225,voice_12_human_056_3dB.mp3,12,human,56,3dB,the last switch cannot be turned off,last,switch,cannot,turned,off,the last switch cannot be turned off,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
152,235,5a65ea8363394a000155745d,task-yg5q,14107,voice_11_human_065_0dB.mp3,11,human,65,0dB,let it burn it gives us warmth and comfort,let,burn,gives,warmth,comfort,let it burn it gives us warmth and comfort,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
153,236,5a65ea8363394a000155745d,task-yg5q,14907,voice_06_human_080_0dB.mp3,6,human,80,0dB,the screen before the fire kept in the sparks,screen,before,fire,kept,sparks,the screen before the fire kept in the sparks,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
158,241,5a65ea8363394a000155745d,task-yg5q,12172,voice_08_human_062_0dB.mp3,8,human,62,0dB,the zones merge in the central part of town,zones,merge,central,part,town,the zones merge in the central part of town,5,1,Male,32,United Kingdom,2025-05-26T15:24:27.864000Z,1978,67,"London, England "
173,173,5bff21c4a1f0500001027953,task-nqkh,9340.4,voice_04_human_004_0dB.mp3,4,human,4,0dB,the fish twisted abd turned on the bent hook,fish,twisted,turned,bent,hook,"the fish twisted and turned on the bent hook
",5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
175,175,5bff21c4a1f0500001027953,task-nqkh,8306.6,voice_07_human_026_-3dB.mp3,7,human,26,-3dB,these thistles bend in a high wind,these,thistles,bend,high,wind,these thistles bend in the high wind,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
176,176,5bff21c4a1f0500001027953,task-nqkh,8692,voice_10_human_009_0dB.mp3,10,human,9,0dB,lift the square stone over the fence,lift,square,stone,over,fence,lift the square stone over the fence,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
177,177,5bff21c4a1f0500001027953,task-nqkh,5740.1,voice_06_human_005_0dB.mp3,6,human,5,0dB,two blue fish swam in the tank,two,blue,fish,swam,tank,two blue fish swam in a tank,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
178,178,5bff21c4a1f0500001027953,task-nqkh,20464.6,voice_01_human_002_0dB.mp3,1,human,2,0dB,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
192,192,5bff21c4a1f0500001027953,task-nqkh,7731,voice_03_human_023_-3dB.mp3,3,human,23,-3dB,two plus seven is less than ten,two,plus,seven,less,ten,two plus seven is less than ten,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
194,194,5bff21c4a1f0500001027953,task-nqkh,9717.6,voice_01_human_022_-3dB.mp3,1,human,22,-3dB,a cramp is no small danger on a swim,cramp,small,danger,on,swim,a cramp is no small danger on a swim,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
197,197,5bff21c4a1f0500001027953,task-nqkh,7067.9,voice_07_human_006_0dB.mp3,7,human,6,0dB,hoist the load to your left shoulder,hoist,load,your,left,shoulder,hoist the load to your left shoulder,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
198,198,5bff21c4a1f0500001027953,task-nqkh,8270.6,voice_03_human_013_0dB.mp3,3,human,13,0dB,see the cat glaring at the scared mouse,see,cat,glaring,scared,mouse,see the cat glaring at the scared mouse,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
200,200,5bff21c4a1f0500001027953,task-nqkh,8879,voice_03_human_003_0dB.mp3,3,human,3,0dB,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
202,202,5bff21c4a1f0500001027953,task-nqkh,6010.8,voice_04_human_014_0dB.mp3,4,human,14,0dB,the grass curled around the fence post,grass,curled,around,fence,post,the grass curled around the fence post,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
203,203,5bff21c4a1f0500001027953,task-nqkh,7353.9,voice_08_human_027_-3dB.mp3,8,human,27,-3dB,the coffee stand is too high for the couch,coffee,stand,too,high,couch,the coffee stand is too high for the couch,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
206,206,5bff21c4a1f0500001027953,task-nqkh,6366.9,voice_12_human_011_0dB.mp3,12,human,11,0dB,a tame squirrel makes a nice pet,tame,squirrel,makes,nice,pet,tame squirrel makes a nice pet,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
207,207,5bff21c4a1f0500001027953,task-nqkh,5817.1,voice_11_human_020_0dB.mp3,11,human,20,0dB,thieves who rob friends deserve jail,thieves,rob,friends,deserve,jail,thieves who rob friends deserve jail,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
210,210,5bff21c4a1f0500001027953,task-nqkh,6139.6,voice_04_clone_064_3dB.mp3,4,clone,64,3dB,code is used when secrets are sent,code,used,when,secrets,sent,code is used when secrets are sent,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
211,211,5bff21c4a1f0500001027953,task-nqkh,6335.4,voice_12_clone_061_3dB.mp3,12,clone,61,3dB,glass will clink when struck by metal,glass,will,clink,struck,metal,glass will clink when struck by metal,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
221,221,5bff21c4a1f0500001027953,task-nqkh,7833.8,voice_11_clone_070_3dB.mp3,11,clone,70,3dB,a sash of gold silk will trim her dress,sash,gold,silk,trim,dress,"a sash of gold silk trimmed her dress
",5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
222,222,5bff21c4a1f0500001027953,task-nqkh,5927,voice_08_clone_067_3dB.mp3,8,clone,67,3dB,it takes a good trap to capture a bear,takes,good,trap,capture,bear,it takes a good trap to capture a bear,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
224,224,5bff21c4a1f0500001027953,task-nqkh,7753.9,voice_08_clone_077_3dB.mp3,8,clone,77,3dB,throw out the used paper cup and plate,throw,used,paper,cup,plate,throw out the used paper cup and plate,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
228,228,5bff21c4a1f0500001027953,task-nqkh,8793.3,voice_10_clone_069_3dB.mp3,10,clone,69,3dB,the fur of cats goes by many names,fur,cats,goes,many,names,the fur of cats goes by many names,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
231,231,5bff21c4a1f0500001027953,task-nqkh,6578.3,voice_08_clone_078_3dB.mp3,9,clone,78,3dB,to have is better than to wait and hope,have,better,than,wait,hope,to have is better than to wait and hope,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
232,232,5bff21c4a1f0500001027953,task-nqkh,6095.9,voice_03_clone_073_3dB.mp3,3,clone,73,3dB,no cement will hold hard wood,no,cement,hold,hard,wood,no cement will hold hardwood,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
233,233,5bff21c4a1f0500001027953,task-nqkh,8418.8,voice_06_clone_065_3dB.mp3,6,clone,65,3dB,let it burn it gives us warmth and comfort,let,burn,gives,warmth,comfort,let it burn it gives us warmth and comfort,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
234,234,5bff21c4a1f0500001027953,task-nqkh,6995.3,voice_03_clone_063_3dB.mp3,3,clone,63,3dB,a gem in the rough needs work to polish,gem,rough,needs,work,polish,a gem in the rough needs work to polish,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
236,236,5bff21c4a1f0500001027953,task-nqkh,7020.6,voice_07_clone_076_3dB.mp3,7,clone,76,3dB,breakfast buns are fine with a hot drink,breakfast,buns,fine,hot,drink,breakfast buns are fine with a hot drink,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
237,237,5bff21c4a1f0500001027953,task-nqkh,6172.8,voice_07_clone_066_3dB.mp3,7,clone,66,3dB,just hoist it up and take it away,just,up,hoist,take,away,just hoist it up and take it away,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
238,238,5bff21c4a1f0500001027953,task-nqkh,7545.5,voice_07_clone_056_-6dB.mp3,7,clone,56,-6dB,the last switch cannot be turned off,last,switch,cannot,turned,off,the last switch cannot be turned off,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
240,240,5bff21c4a1f0500001027953,task-nqkh,8295.1,voice_01_clone_062_3dB.mp3,1,clone,62,3dB,the zones merge in the central part of town,zones,merge,central,part,town,the zones merge in the central part of town,5,1,Female,33,United Kingdom,2025-05-27T09:56:02.843000Z,1608,134,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
